Location_ID,Location_Name_ZH
101010100,北京
101010200,海淀
101010300,朝阳
101010400,顺义
101010500,怀柔
101010600,通州
101010700,昌平
101010800,延庆
101010900,丰台
101011000,石景山
101011100,大兴
101011200,房山
101011300,密云
101011400,门头沟
101011500,平谷
101011600,东城
101011700,西城
101020100,上海
101020200,闵行
101020300,宝山
101020400,黄浦
101230101,福州
101230102,闽清
101230103,闽侯
101230104,罗源
101230105,连江
101230106,鼓楼
101230107,永泰
101230108,平潭
101230109,台江
101230110,长乐
101230111,福清
101230112,仓山
101230113,马尾
101230114,晋安
101230201,厦门
101230202,同安
101230203,思明
101230204,海沧
101230205,湖里
101230206,集美
101230207,翔安
101230301,宁德
101230302,古田
101230303,霞浦
101230304,寿宁
101230305,周宁
101230306,福安
101230307,柘荣
101230308,福鼎
101230309,屏南
101230310,蕉城
101230401,莆田
101230402,仙游
101230404,涵江
101230405,秀屿
101230406,荔城
101230407,城厢
101230501,泉州
101230502,安溪
101230503,金门
101230504,永春
101230505,德化
101230506,南安
101230508,惠安
101230509,晋江
101230510,石狮
101230511,鲤城
101230512,丰泽
101230513,洛江
101230514,泉港
101230601,漳州
101230602,长泰
101230603,南靖
101230604,平和
101230605,龙海
101230606,漳浦
101230607,诏安
101230608,东山
101230609,云霄
101230610,华安
101230611,芗城
101230612,龙文
101230701,龙岩
101230702,长汀
101230703,连城
101230704,武平
101230705,上杭
101230706,永定
101230707,漳平
101230708,新罗
101230801,三明
101230802,宁化
101230803,清流
101230804,泰宁
101230805,将乐
101230806,建宁
101230807,明溪
101230808,沙县
101230809,尤溪
101230810,永安
101230811,大田
101230812,梅列
101230813,三元
101230901,南平
101230902,顺昌
101230903,光泽
101230904,邵武
101230905,武夷山
101230906,浦城
101230907,建阳
101230908,松溪
101230909,政和
101230910,建瓯
101230911,延平
101240101,南昌
101240102,新建
101240103,南昌县
101240104,安义
101240105,进贤
101240106,东湖
101240107,西湖
101240108,青云谱
101240109,红谷滩
101240110,青山湖
101240201,九江
101240202,瑞昌
101240203,庐山
101240204,武宁
101240205,德安
101240206,永修
101240207,湖口
101240208,彭泽
101240210,都昌
101240211,浔阳
101240212,修水
101240213,共青城
101240214,濂溪
101240215,柴桑
101240301,上饶
101240302,鄱阳
101240303,婺源
101240304,信州
101240305,余干
101240306,万年
101240307,德兴
101240308,广信
101240309,弋阳
101240310,横峰
101240311,铅山
101240312,玉山
101240313,广丰
101240401,抚州
101240402,广昌
101240403,乐安
101240404,崇仁
101240405,金溪
101240406,资溪
101240407,宜黄
101240408,南城
101240409,南丰
101240410,黎川
101240411,东乡
101240412,临川
101240501,宜春
101240502,铜鼓
101240503,宜丰
101240504,万载
101240505,上高
101240506,靖安
101240507,奉新
101240508,高安
101240509,樟树
101240510,丰城
101240511,袁州
101240601,吉安
101240602,吉安县
101240603,吉水
101240604,新干
101240605,峡江
101240606,永丰
101240607,永新
101240608,井冈山
101240609,万安
101240610,遂川
101240611,泰和
101240612,安福
101240614,吉州
101240615,青原
101240701,赣州
101240702,崇义
101240703,上犹
101240704,南康
101240705,大余
101240706,信丰
101240707,宁都
101240708,石城
101240709,瑞金
101240710,于都
101240711,会昌
101240712,安远
101240713,全南
101240714,龙南
101240715,定南
101240716,寻乌
101240717,兴国
101240718,赣县
101240719,章贡
101240801,景德镇
101240802,乐平
101240803,浮梁
101240804,昌江
101240805,珠山
101240901,萍乡
101240902,莲花
101240903,上栗
101240904,安源
101240905,芦溪
101240906,湘东
101241001,新余
101241002,分宜
101241003,渝水
101241101,鹰潭
101241102,余江
101241103,贵溪
101241104,月湖
101250101,长沙
101250102,宁乡
101250103,浏阳
101250105,望城
101250106,长沙县
101250107,芙蓉
101250108,天心
101250109,岳麓
101250110,开福
101250111,雨花
101250201,湘潭
101250202,韶山
101250203,湘乡
101250204,雨湖
101250205,岳塘
101250206,湘潭县
101250301,株洲
101250302,攸县
101250303,醴陵
101250304,荷塘
101250305,茶陵
101250306,炎陵
101250307,芦淞
101250308,石峰
101250309,天元
101250310,渌口
101250401,衡阳
101250402,衡山
101250403,衡东
101250404,祁东
101250405,衡阳县
101250406,常宁
101250407,衡南
101250408,耒阳
101250409,南岳
101250410,珠晖
101250411,雁峰
101250412,石鼓
101250413,蒸湘
101250501,郴州
101250502,桂阳
101250503,嘉禾
101250504,宜章
101250505,临武
101250506,北湖
101250507,资兴
101250508,汝城
101250509,安仁
101250510,永兴
101250511,桂东
101250512,苏仙
101250601,常德
101250602,安乡
101250603,桃源
101250604,汉寿
101250605,澧县
101250606,临澧
101250607,石门
101250608,津市
101250609,武陵
101250610,鼎城
101250700,益阳
101250701,赫山区
101250702,南县
101250703,桃江
101250704,安化
101250705,沅江
101250706,资阳
101250801,娄底
101250802,双峰
101250803,冷水江
101250804,娄星
101250805,新化
101250806,涟源
101250901,邵阳
101250902,隆回
101250903,洞口
101250904,新邵
101250905,邵东
101250906,绥宁
101250907,新宁
101250908,武冈
101250909,城步
101250910,邵阳县
101250911,双清
101250912,大祥
101250913,北塔
101251001,岳阳
101251002,华容
101251003,湘阴
101251004,汨罗
101251005,平江
101251006,临湘
101251007,岳阳楼区
101251008,云溪
101251009,君山
101251010,岳阳县
101251101,张家界
101251102,桑植
101251103,慈利
101251104,武陵源
101251105,永定
101251201,怀化
101251202,鹤城
101251203,沅陵
101251204,辰溪
101251205,靖州
101251206,会同
101251207,通道
101251208,麻阳
101251209,新晃
101251210,芷江
101251211,溆浦
101251212,中方
101251213,洪江
101251401,永州
101251402,祁阳
101251403,东安
101251404,双牌
101251405,道县
101251406,宁远
101251407,江永
101251408,蓝山
101251409,新田
101251410,江华
101251411,冷水滩
101251412,零陵
101251501,吉首
101251502,保靖
101251503,永顺
101251504,古丈
101251505,凤凰
101251506,泸溪
101251507,龙山
101251508,花垣
101251509,湘西
101260101,贵阳
101260102,白云
101260103,花溪
101260104,乌当
101260105,息烽
101260106,开阳
101260107,修文
101260108,清镇
101260110,云岩
101260111,南明
101260112,观山湖
101260201,遵义
101260203,仁怀
101260204,绥阳
101260205,湄潭
101260206,凤冈
101260207,桐梓
101260208,赤水
101260209,习水
101260210,道真
101260211,正安
101260212,务川
101260213,余庆
101260214,汇川
101260215,红花岗
101260216,播州
101260301,安顺
101260302,普定
101260303,镇宁
101260304,平坝
101260305,紫云
101260306,关岭
101260307,西秀
101260401,都匀
101260402,贵定
101260403,瓮安
101260404,长顺
101260405,福泉
101260406,惠水
101260407,龙里
101260408,罗甸
101260409,平塘
101260410,独山
101260411,三都
101260412,荔波
101260413,黔南
101260501,凯里
101260502,岑巩
101260503,施秉
101260504,镇远
101260505,黄平
101260506,黔东南
101260507,麻江
101260508,丹寨
101260509,三穗
101260510,台江
101260511,剑河
101260512,雷山
101260513,黎平
101260514,天柱
101260515,锦屏
101260516,榕江
101260517,从江
101260601,铜仁
101260602,江口
101260603,玉屏
101260604,万山
101260605,思南
101260606,碧江
101260607,印江
101260608,石阡
101260609,沿河
101260610,德江
101260611,松桃
101260701,毕节
101260702,赫章
101260703,金沙
101260704,威宁
101260705,大方
101260706,纳雍
101260707,织金
101260708,黔西
101260709,七星关
101260801,水城
101260802,六枝
101260803,六盘水
101260804,盘州
101260805,钟山
101260901,兴义
101260902,晴隆
101260903,兴仁
101260904,贞丰
101260905,望谟
101260906,黔西南
